2019-04-03 20:07:58.30: SIM {TimeUS : 123916247, Roll : -7.71, Pitch : 8.47, Yaw : 317.87, Alt : 586.989990234, Lat : -35.3632762, Lng : 149.1652286, Q1 : 0.930300295353, Q2 : -0.0361067466438, Q3 : 0.092953518033, Q4 : -0.352983474731}
2019-04-03 20:07:58.40: SIM {TimeUS : 124016207, Roll : -9.67, Pitch : 6.88, Yaw : 309.37, Alt : 587.049987793, Lat : -35.3632779, Lng : 149.1652286, Q1 : 0.901293635368, Q2 : -0.0505204312503, Q3 : 0.0901038348675, Q4 : -0.42071223259}
2019-04-03 20:07:58.50: SIM {TimeUS : 124116167, Roll : -11.3, Pitch : 4.97, Yaw : 300.85, Alt : 587.109985352, Lat : -35.3632796, Lng : 149.1652286, Q1 : 0.866816699505, Q2 : -0.0642153695226, Q3 : 0.0861429795623, Q4 : -0.486913353205}
2019-04-03 20:07:58.59: SIM {TimeUS : 124216127, Roll : -12.44, Pitch : 2.9, Yaw : 292.56, Alt : 587.16998291, Lat : -35.3632814, Lng : 149.1652286, Q1 : 0.828135609627, Q2 : -0.0761723592877, Q3 : 0.0811111107469, Q4 : -0.549372553825}
2019-04-03 20:07:58.69: SIM {TimeUS : 124316087, Roll : -13.1, Pitch : 0.82, Yaw : 284.65, Alt : 587.239990234, Lat : -35.3632833, Lng : 149.1652284, Q1 : 0.786834716797, Q2 : -0.0859994739294, Q3 : 0.0754017010331, Q4 : -0.606473326683}
2019-04-03 20:07:58.79: SIM {TimeUS : 124416047, Roll : -13.35, Pitch : -1.13, Yaw : 277.24, Alt : 587.309997559, Lat : -35.3632853, Lng : 149.1652284, Q1 : 0.744459331036, Q2 : -0.0937283188105, Q3 : 0.0695202574134, Q4 : -0.657390475273}
2019-04-03 20:07:58.89: SIM {TimeUS : 124516007, Roll : -13.32, Pitch : -2.83, Yaw : 270.34, Alt : 587.380004883, Lat : -35.3632874, Lng : 149.1652282, Q1 : 0.702215969563, Q2 : -0.0995871052146, Q3 : 0.0642940700054, Q4 : -0.702026665211}
2019-04-03 20:07:58.99: SIM {TimeUS : 124615967, Roll : -13.11, Pitch : -4.29, Yaw : 263.96, Alt : 587.460021973, Lat : -35.3632895, Lng : 149.1652279, Q1 : 0.660907149315, Q2 : -0.104025810957, Q3 : 0.0599381290376, Q4 : -0.740802168846}
2019-04-03 20:07:59.09: SIM {TimeUS : 124715927, Roll : -12.81, Pitch : -5.54, Yaw : 258.05, Alt : 587.530029297, Lat : -35.3632918, Lng : 149.1652277, Q1 : 0.620848536491, Q2 : -0.107536286116, Q3 : 0.0563234426081, Q4 : -0.77447450161}
2019-04-03 20:07:59.19: SIM {TimeUS : 124815887, Roll : -12.43, Pitch : -6.62, Yaw : 252.51, Alt : 587.609985352, Lat : -35.3632941, Lng : 149.1652274, Q1 : 0.581910014153, Q2 : -0.110267564654, Q3 : 0.0532095804811, Q4 : -0.803984165192}
2019-04-03 20:07:59.29: SIM {TimeUS : 124915847, Roll : -11.99, Pitch : -7.57, Yaw : 247.22, Alt : 587.700012207, Lat : -35.3632965, Lng : 149.165227, Q1 : 0.543624520302, Q2 : -0.112409807742, Q3 : 0.0504432395101, Q4 : -0.830236077309}
2019-04-03 20:07:59.39: SIM {TimeUS : 125015807, Roll : -11.51, Pitch : -8.44, Yaw : 242.07, Alt : 587.780029297, Lat : -35.363299, Lng : 149.1652267, Q1 : 0.505303263664, Q2 : -0.114313296974, Q3 : 0.0479520782828, Q4 : -0.853991746902}
2019-04-03 20:07:59.49: SIM {TimeUS : 125115767, Roll : -10.96, Pitch : -9.26, Yaw : 236.94, Alt : 587.869995117, Lat : -35.3633016, Lng : 149.1652263, Q1 : -0.466235876083, Q2 : 0.116121776402, Q3 : -0.0453992858529, Q4 : 0.875830352306}
2019-04-03 20:07:59.59: SIM {TimeUS : 125215727, Roll : -10.33, Pitch : -10.11, Yaw : 231.74, Alt : 587.960021973, Lat : -35.3633042, Lng : 149.165226, Q1 : -0.425772368908, Q2 : 0.118163332343, Q3 : -0.0423720665276, Q4 : 0.896080315113}
2019-04-03 20:07:59.69: SIM {TimeUS : 125315687, Roll : -9.58, Pitch : -11.0, Yaw : 226.39, Alt : 588.049987793, Lat : -35.3633069, Lng : 149.1652255, Q1 : -0.383371204138, Q2 : 0.12054219842, Q3 : -0.0387961864471, Q4 : 0.91487210989}
2019-04-03 20:07:59.80: SIM {TimeUS : 125416480, Roll : -8.64, Pitch : -11.92, Yaw : 220.8, Alt : 588.140014648, Lat : -35.3633096, Lng : 149.1652251, Q1 : -0.338370531797, Q2 : 0.123215451837, Q3 : -0.0341731272638, Q4 : 0.932285130024}
