2019-09-29 18:28:34.10: SIM {TimeUS : 46728801, Roll : 0.03, Pitch : -0.06, Yaw : 170.06, Alt : 93.1100006104, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0865579172969, Q2 : 0.000623962143436, Q3 : 0.000282392080408, Q4 : 0.996246576309}
2019-09-29 18:28:34.20: SIM {TimeUS : 46828761, Roll : 0.02, Pitch : -0.08, Yaw : 170.07, Alt : 93.3399963379, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0865334048867, Q2 : 0.000757816829719, Q3 : 0.000191318351426, Q4 : 0.996248662472}
2019-09-29 18:28:34.30: SIM {TimeUS : 46928721, Roll : 0.0, Pitch : -0.09, Yaw : 170.07, Alt : 93.5599975586, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0865093767643, Q2 : 0.000869999930728, Q3 : 1.00808620118e-05, Q4 : 0.99625068903}
2019-09-29 18:28:34.40: SIM {TimeUS : 47028681, Roll : 0.0, Pitch : -0.08, Yaw : 170.07, Alt : 93.7900009155, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0865098834038, Q2 : 0.000695683294907, Q3 : -0.000131626176881, Q4 : 0.996250748634}
2019-09-29 18:28:34.49: SIM {TimeUS : 47128641, Roll : -0.02, Pitch : -0.04, Yaw : 170.07, Alt : 94.0100021362, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0865390598774, Q2 : 0.000413300615037, Q3 : -0.000221348003834, Q4 : 0.996248364449}
2019-09-29 18:28:34.59: SIM {TimeUS : 47228601, Roll : -0.03, Pitch : -0.03, Yaw : 170.06, Alt : 94.2399978638, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0865807980299, Q2 : 0.000240640671109, Q3 : -0.000299214298138, Q4 : 0.99624478817}
2019-09-29 18:28:34.69: SIM {TimeUS : 47328561, Roll : -0.03, Pitch : 0.0, Yaw : 170.06, Alt : 94.4599990845, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866256505251, Q2 : 4.22947887273e-05, Q3 : -0.000282721099211, Q4 : 0.996240913868}
2019-09-29 18:28:34.79: SIM {TimeUS : 47428521, Roll : -0.01, Pitch : 0.0, Yaw : 170.05, Alt : 94.6900024414, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866732001305, Q2 : 1.40613010444e-05, Q3 : -0.000108099404315, Q4 : 0.996236801147}
2019-09-29 18:28:34.89: SIM {TimeUS : 47528481, Roll : 0.03, Pitch : -0.03, Yaw : 170.05, Alt : 94.9199981689, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0867191031575, Q2 : 0.000294801371638, Q3 : 0.000304667715682, Q4 : 0.996232688427}
2019-09-29 18:28:34.99: SIM {TimeUS : 47628441, Roll : 0.06, Pitch : -0.05, Yaw : 170.04, Alt : 95.1500015259, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0867606848478, Q2 : 0.0005690191756, Q3 : 0.000553425343242, Q4 : 0.99622887373}
