2019-04-14 04:37:27.91: SIM {TimeUS : 47134472, Roll : -0.02, Pitch : 0.02, Yaw : 359.88, Alt : 37.2999992371, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.999999463558, Q2 : -0.000192979539861, Q3 : 0.000214182568016, Q4 : -0.000991997425444}
2019-04-14 04:37:28.01: SIM {TimeUS : 47234432, Roll : 0.0, Pitch : 0.01, Yaw : 359.88, Alt : 37.5200004578, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999523163, Q2 : -7.51280749682e-05, Q3 : 0.000169016304426, Q4 : -0.00099433970172}
2019-04-14 04:37:28.11: SIM {TimeUS : 47334392, Roll : -0.01, Pitch : 0.0, Yaw : 359.88, Alt : 37.75, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999523163, Q2 : -0.000146527701872, Q3 : 1.73782082129e-05, Q4 : -0.000984433223493}
2019-04-14 04:37:28.21: SIM {TimeUS : 47434352, Roll : -0.04, Pitch : -0.02, Yaw : 359.88, Alt : 37.9799995422, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999463558, Q2 : -0.000371258094674, Q3 : -0.000226043659495, Q4 : -0.000969847955275}
2019-04-14 04:37:28.31: SIM {TimeUS : 47534312, Roll : -0.07, Pitch : -0.04, Yaw : 359.89, Alt : 38.2000007629, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999284744, Q2 : -0.000630073831417, Q3 : -0.000401049794164, Q4 : -0.000956589356065}
2019-04-14 04:37:28.41: SIM {TimeUS : 47634272, Roll : -0.09, Pitch : -0.04, Yaw : 359.89, Alt : 38.4300003052, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.99999910593, Q2 : -0.000860133266542, Q3 : -0.000399460026529, Q4 : -0.000953976006713}
2019-04-14 04:37:28.51: SIM {TimeUS : 47734232, Roll : -0.11, Pitch : -0.04, Yaw : 359.89, Alt : 38.6599998474, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999998986721, Q2 : -0.000984650221653, Q3 : -0.000354456191417, Q4 : -0.000958699441981}
2019-04-14 04:37:28.61: SIM {TimeUS : 47834192, Roll : -0.11, Pitch : -0.03, Yaw : 359.88, Alt : 38.8899993896, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999998986721, Q2 : -0.000981630408205, Q3 : -0.000337502977345, Q4 : -0.000969075539615}
2019-04-14 04:37:28.71: SIM {TimeUS : 47934152, Roll : -0.09, Pitch : -0.02, Yaw : 359.88, Alt : 39.1199989319, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.99999910593, Q2 : -0.000852453580592, Q3 : -0.000260269938735, Q4 : -0.000986500759609}
2019-04-14 04:37:28.81: SIM {TimeUS : 48034112, Roll : -0.07, Pitch : -0.03, Yaw : 359.88, Alt : 39.3499984741, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.99999922514, Q2 : -0.000631611503195, Q3 : -0.000346952030668, Q4 : -0.00101039500441}
