2019-04-14 18:36:00.31: SIM {TimeUS : 46735465, Roll : 0.04, Pitch : 0.04, Yaw : 359.92, Alt : 35.4000015259, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999999582767, Q2 : 0.000395948183723, Q3 : 0.000430020445492, Q4 : -0.00068999681389}
2019-04-14 18:36:00.41: SIM {TimeUS : 46835425, Roll : 0.03, Pitch : 0.01, Yaw : 359.92, Alt : 35.6199989319, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999999701977, Q2 : 0.000293387129204, Q3 : 0.00015999111929, Q4 : -0.000697540002875}
2019-04-14 18:36:00.51: SIM {TimeUS : 46935385, Roll : 0.02, Pitch : 0.0, Yaw : 359.91, Alt : 35.8400001526, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999999761581, Q2 : 0.000209446370718, Q3 : -7.59719114285e-05, Q4 : -0.000707703118678}
2019-04-14 18:36:00.61: SIM {TimeUS : 47035345, Roll : 0.0, Pitch : -0.01, Yaw : 359.91, Alt : 36.0600013733, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999701977, Q2 : 2.80223912341e-06, Q3 : -0.000167955513461, Q4 : -0.000724142766558}
2019-04-14 18:36:00.71: SIM {TimeUS : 47135305, Roll : 0.0, Pitch : -0.01, Yaw : 359.91, Alt : 36.2799987793, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999701977, Q2 : -5.42812340427e-05, Q3 : -0.00017249060329, Q4 : -0.000740017625503}
2019-04-14 18:36:00.81: SIM {TimeUS : 47235265, Roll : 0.0, Pitch : -0.01, Yaw : 359.91, Alt : 36.5, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999701977, Q2 : 1.29522923089e-05, Q3 : -0.000152434149641, Q4 : -0.000754190667067}
2019-04-14 18:36:00.91: SIM {TimeUS : 47335225, Roll : 0.0, Pitch : -0.02, Yaw : 359.91, Alt : 36.7200012207, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999642372, Q2 : -6.5187610744e-05, Q3 : -0.000238779975916, Q4 : -0.000769041944295}
2019-04-14 18:36:01.01: SIM {TimeUS : 47435185, Roll : -0.03, Pitch : -0.05, Yaw : 359.9, Alt : 36.9500007629, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999523163, Q2 : -0.000321443920257, Q3 : -0.000473293301184, Q4 : -0.000794162682723}
2019-04-14 18:36:01.11: SIM {TimeUS : 47535145, Roll : -0.07, Pitch : -0.07, Yaw : 359.9, Alt : 37.1699981689, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.99999922514, Q2 : -0.000636265904177, Q3 : -0.000688508909661, Q4 : -0.000828541000374}
2019-04-14 18:36:01.21: SIM {TimeUS : 47635105, Roll : -0.1, Pitch : -0.09, Yaw : 359.9, Alt : 37.3899993896, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999998807907, Q2 : -0.000943222257774, Q3 : -0.000869979965501, Q4 : -0.000863908266183}
2019-04-14 18:36:01.31: SIM {TimeUS : 47735065, Roll : -0.11, Pitch : -0.1, Yaw : 359.89, Alt : 37.6199989319, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999998688698, Q2 : -0.00101265159901, Q3 : -0.000905451597646, Q4 : -0.000899854581803}
2019-04-14 18:36:01.41: SIM {TimeUS : 47835025, Roll : -0.1, Pitch : -0.08, Yaw : 359.89, Alt : 37.8499984741, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999998807907, Q2 : -0.000941964623053, Q3 : -0.000763704651035, Q4 : -0.000934364739805}
2019-04-14 18:36:01.51: SIM {TimeUS : 47934985, Roll : -0.09, Pitch : -0.05, Yaw : 359.88, Alt : 38.0699996948, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.99999910593, Q2 : -0.000810196856037, Q3 : -0.000448409933597, Q4 : -0.000964252802078}
2019-04-14 18:36:01.61: SIM {TimeUS : 48034945, Roll : -0.07, Pitch : -0.02, Yaw : 359.88, Alt : 38.2999992371, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999284744, Q2 : -0.000635230040643, Q3 : -0.000221913811401, Q4 : -0.00099877815228}
2019-04-14 18:36:01.71: SIM {TimeUS : 48134905, Roll : -0.06, Pitch : -0.02, Yaw : 359.88, Alt : 38.5299987793, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999284744, Q2 : -0.000558605417609, Q3 : -0.000221988215344, Q4 : -0.00103857647628}
2019-04-14 18:36:01.81: SIM {TimeUS : 48234865, Roll : -0.06, Pitch : -0.01, Yaw : 359.87, Alt : 38.7599983215, Lat : 49.2835706, Lng : -123.1150206, Q1 : 0.999999284744, Q2 : -0.000560221436899, Q3 : -0.000131650886033, Q4 : -0.00106090691406}
2019-04-14 18:36:01.91: SIM {TimeUS : 48334825, Roll : -0.07, Pitch : 0.0, Yaw : 359.87, Alt : 38.9900016785, Lat : 49.2835706, Lng : -123.1150206, Q1 : 0.999999165535, Q2 : -0.000681855599396, Q3 : 8.97443351278e-06, Q4 : -0.00107284612022}
2019-04-14 18:36:02.01: SIM {TimeUS : 48434785, Roll : -0.07, Pitch : 0.01, Yaw : 359.87, Alt : 39.2200012207, Lat : 49.2835706, Lng : -123.1150206, Q1 : 0.99999922514, Q2 : -0.000652496120892, Q3 : 0.000126401617308, Q4 : -0.00107757968362}
2019-04-14 18:36:02.11: SIM {TimeUS : 48534745, Roll : -0.05, Pitch : 0.03, Yaw : 359.87, Alt : 39.4399986267, Lat : 49.2835706, Lng : -123.1150207, Q1 : 0.99999922514, Q2 : -0.000505709904246, Q3 : 0.000345877022482, Q4 : -0.00107924744952}
